case_id,adviser,case_type,status,outcome,selected_date,completed_date
CR-A01,adv001,A,completed,pass,2025-09-05,2025-09-20
CR-A02,adv001,B,completed,pass,2026-01-10,2026-01-25
CR-B01,adv002,A,in_progress,none,2026-06-05,
CR-C01,adv003,A,completed,pass,2025-09-02,2025-09-17
CR-C02,adv003,B,completed,pass,2025-10-02,2025-10-17
CR-C03,adv003,C,completed,pass,2025-11-03,2025-11-18
CR-C04,adv003,A,completed,pass,2025-12-01,2025-12-16
CR-C05,adv003,B,completed,pass,2026-01-05,2026-01-20
CR-C06,adv003,C,completed,pass,2026-02-02,2026-02-17
CR-C07,adv003,A,completed,pass,2026-03-02,2026-03-17
CR-C08,adv003,B,completed,pass,2026-04-01,2026-04-16
CR-C09,adv003,A,completed,pass,2026-05-04,2026-05-19
CR-C10,adv003,B,completed,pass,2026-06-01,2026-06-16
CR-D01,adv004,B,completed,fail,2026-05-30,2026-06-15
CR-E01,adv005,A,completed,pass,2026-05-25,2026-06-10
CR-F01,adv006,A,completed,pass,2025-08-04,2025-08-19
CR-F02,adv006,B,completed,pass,2025-09-08,2025-09-23
CR-F03,adv006,A,completed,pass,2025-10-06,2025-10-21
CR-F04,adv006,B,completed,pass,2025-11-10,2025-11-25
CR-F05,adv006,A,completed,pass,2025-12-08,2025-12-23
CR-F06,adv006,B,completed,pass,2026-01-12,2026-01-27
CR-F07,adv006,A,completed,pass,2026-02-09,2026-02-24
CR-F08,adv006,B,completed,pass,2026-03-09,2026-03-24
CR-H01,adv008,B,completed,fail,2026-04-25,2026-05-10
